,bench_count,ID,atm_count,cafe_count,bicycle_parking_count,fountain_count,fast_food_count,shelter_count,vending_machine_count,waste_basket_count,recycling_count,drinking_water_count,toilet_count,geometry,tile_count,cluster_cat
1651,0.0,1652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.231356166004257 48.144401762357504, 16.231365316666686 48.13990510782497, 16.23808359675411 48.13991103542472, 16.23807503287104 48.144407690874935, 16.231356166004257 48.144401762357504))",1,4
1652,3.0,1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.23807503287104 48.144407690874935, 16.23808359675411 48.13991103542472, 16.244801878920942 48.13991657033048, 16.24479390181789 48.144413226636786, 16.23807503287104 48.144407690874935))",1,4
1653,6.0,1654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.24479390181789 48.144413226636786, 16.244801878920942 48.13991657033048, 16.251520163023468 48.13992171254207, 16.251512772701027 48.14441836964281, 16.24479390181789 48.144413226636786))",1,4
1654,-4.0,1655,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,-1.0,0.0,"POLYGON ((16.251512772701027 48.14441836964281, 16.251520163023468 48.13992171254207, 16.258238448917936 48.13992646205914, 16.25823164537667 48.144423119892735, 16.251512772701027 48.14441836964281))",1,0
1655,-4.0,1656,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-4.0,-2.0,-1.0,0.0,"POLYGON ((16.25823164537667 48.144423119892735, 16.258238448917936 48.13992646205914, 16.264956736460604 48.139930818881474, 16.26495051970103 48.144427477386294, 16.25823164537667 48.144423119892735))",1,0
1656,-1.0,1657,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0,0.0,"POLYGON ((16.26495051970103 48.144427477386294, 16.264956736460604 48.139930818881474, 16.27167502550776 48.13993478300882, 16.271669395530353 48.1444314421233, 16.26495051970103 48.144427477386294))",1,0
1657,-4.0,1658,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-4.0,2.0,-1.0,0.0,"POLYGON ((16.271669395530353 48.1444314421233, 16.27167502550776 48.13993478300882, 16.278393315915643 48.13993835444098, 16.27838827272083 48.144435014103465, 16.271669395530353 48.1444314421233))",1,0
1658,-10.0,1659,0.0,-1.0,-6.0,0.0,-1.0,0.0,-1.0,-5.0,2.0,-1.0,0.0,"POLYGON ((16.27838827272083 48.144435014103465, 16.278393315915643 48.13993835444098, 16.285111607540543 48.139941533177776, 16.28510715112869 48.14443819332665, 16.27838827272083 48.144435014103465))",1,9
1659,-6.0,1660,0.0,-1.0,-4.0,0.0,-1.0,0.0,-1.0,-5.0,0.0,-1.0,0.0,"POLYGON ((16.28510715112869 48.14443819332665, 16.285111607540543 48.139941533177776, 16.291829900238703 48.13994431921903, 16.291826030610146 48.144440979792726, 16.28510715112869 48.14443819332665))",1,3
1660,-3.0,1661,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,"POLYGON ((16.291826030610146 48.144440979792726, 16.291829900238703 48.13994431921903, 16.2985481938664 48.13994671256458, 16.298544911021434 48.14444337350148, 16.291826030610146 48.144440979792726))",1,3
1661,-6.0,1662,0.0,-1.0,-4.0,0.0,-1.0,0.0,0.0,-6.0,0.0,-1.0,0.0,"POLYGON ((16.298544911021434 48.14444337350148, 16.2985481938664 48.13994671256458, 16.305266488279877 48.13994871321435, 16.30526379221876 48.144445374452836, 16.298544911021434 48.14444337350148))",1,3
1662,-5.0,1663,0.0,-1.0,3.0,1.0,0.0,0.0,-1.0,-5.0,0.0,-1.0,0.0,"POLYGON ((16.30526379221876 48.144445374452836, 16.305266488279877 48.13994871321435, 16.31198478333542 48.13995032116818, 16.311982674058346 48.14444698264665, 16.30526379221876 48.144445374452836))",1,3
1663,3.0,1664,0.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,-3.0,1.0,2.0,2.0,"POLYGON ((16.311982674058346 48.14444698264665, 16.31198478333542 48.13995032116818, 16.318703078889286 48.13995153642603, 16.318701556396405 48.144448198082905, 16.311982674058346 48.14444698264665))",1,3
1664,-6.0,1665,0.0,-1.0,-4.0,0.0,-1.0,0.0,-1.0,-4.0,-1.0,-1.0,0.0,"POLYGON ((16.318701556396405 48.144448198082905, 16.318703078889286 48.13995153642603, 16.32542137479773 48.139952358987834, 16.32542043908916 48.14444902076144, 16.318701556396405 48.144448198082905))",1,3
1665,-4.0,1666,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,"POLYGON ((16.32542043908916 48.14444902076144, 16.32542137479773 48.139952358987834, 16.332139670917027 48.13995278885353, 16.33213932199283 48.14444945068228, 16.32542043908916 48.14444902076144))",1,0
1666,-4.0,1667,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-4.0,-2.0,-1.0,0.0,"POLYGON ((16.33213932199283 48.14444945068228, 16.332139670917027 48.13995278885353, 16.33885796710342 48.139952826023105, 16.33885820496363 48.14444948784543, 16.33213932199283 48.14444945068228))",1,0
1667,-4.0,1668,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0,0.0,"POLYGON ((16.33885820496363 48.14444948784543, 16.33885796710342 48.139952826023105, 16.345576263213207 48.13995247049656, 16.34557708785778 48.14444913225085, 16.33885820496363 48.14444948784543))",1,0
1668,-3.0,1669,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,6.0,-1.0,0.0,"POLYGON ((16.34557708785778 48.14444913225085, 16.345576263213207 48.13995247049656, 16.352294559102617 48.13995172227391, 16.352295970531507 48.144448383898514, 16.34557708785778 48.14444913225085))",1,0
1669,-2.0,1670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.352295970531507 48.144448383898514, 16.352294559102617 48.13995172227391, 16.359012854627927 48.139950581355244, 16.35901485284101 48.14444724278857, 16.352295970531507 48.144448383898514))",1,7
